nombre;año;mes;precio;volumen
Papa blanca;2021;05;0.78;40372.00
Papa blanca;2021;06;0.83;40490.00
Papa blanca;2021;07;0.92;43395.00
Papa blanca;2021;08;1.02;42069.00
Papa blanca;2021;09;1.13;45035.00
Papa blanca;2021;10;1.08;46490.00
Papa blanca;2021;11;1.08;43599.00
Papa blanca;2021;12;1.06;46876.00
Papa color;2020;01;0.91;4226.00
Papa color;2020;02;0.93;4396.00
Papa color;2020;03;0.73;3052.00
Papa color;2020;04;0.66;4052.00
Papa color;2020;05;0.51;3656.00
Papa color;2020;06;0.60;4525.00
Papa color;2020;07;0.59;2797.00
Papa color;2020;08;0.57;2022.00
Papa color;2020;09;0.48;1456.00
Papa color;2020;10;0.46;2156.00
Papa color;2020;11;0.43;1850.00
Papa color;2020;12;0.51;1252.00
Papa color;2021;01;0.80;1550.00
Papa color;2021;02;0.92;2125.00
Papa color;2021;03;1.29;2108.00
Papa color;2021;04;1.37;3482.00
Papa color;2021;05;1.29;1589.00
Papa color;2021;06;1.39;1467.00
Papa color;2021;07;1.44;1973.00
Papa color;2021;08;1.25;2535.00
Papa color;2021;09;1.13;912.00
Papa color;2021;10;0.86;2093.00
Papa color;2021;11;0.87;2190.00
Papa color;2021;12;1.01;3074.00
Papa nativa;2020;01;1.74;4348.00
Papa nativa;2020;02;1.69;4655.00
Papa nativa;2020;03;1.39;4826.00
Papa nativa;2020;04;1.49;2100.00
Papa nativa;2020;05;1.18;1403.00
Papa nativa;2020;06;1.23;1684.00
Papa nativa;2020;07;1.82;1650.00
Papa nativa;2020;08;2.21;1998.00
Papa nativa;2020;09;2.24;2911.00
Papa nativa;2020;10;1.83;3097.00
Papa nativa;2020;11;1.65;3033.00
Papa nativa;2020;12;1.77;3110.00
Papa nativa;2021;01;2.09;4154.00
Papa nativa;2021;02;2.25;2352.00
Papa nativa;2021;03;2.24;4345.00
Papa nativa;2021;04;1.91;4952.00
Papa nativa;2021;05;1.67;4215.00
Papa nativa;2021;06;1.44;2654.00
Papa nativa;2021;07;1.47;2318.00
Papa nativa;2021;08;1.65;2596.00
Papa nativa;2021;09;1.48;3164.00
Papa nativa;2021;10;1.15;4669.00
Papa nativa;2021;11;1.40;3294.00
Papa nativa;2021;12;1.68;5265.00
Paprika;2020;01;9.25;2.00
Paprika;2020;02;8.29;35.00
Paprika;2020;03;8.45;11.00
Paprika;2020;04;8.63;2.00
Paprika;2020;05;8.91;13.00
Paprika;2020;06;9.94;4.00
Paprika;2020;07;10.53;14.00
Paprika;2020;08;10.63;9.00
Paprika;2020;09;9.25;2.00
Paprika;2020;10;8.50;8.00
Paprika;2020;11;9.58;14.00
Paprika;2020;12;11.07;14.00
Paprika;2021;01;9.42;14.00
Paprika;2021;02;10.25;1.00
Paprika;2021;03;11.73;12.00
Paprika;2021;04;10.51;14.00
Paprika;2021;05;9.01;14.00
Paprika;2021;06;8.78;14.00
Paprika;2021;07;10.31;16.00
Paprika;2021;08;11.75;1.00
Paprika;2021;09;11.38;1.00
Paprika;2021;10;11.39;11.00
Paprika;2021;11;11.40;68.00
Paprika;2021;12;10.92;36.00
Tomate;2020;01;1.50;8530.00
Tomate;2020;02;1.74;8206.00
Tomate;2020;03;2.22;9126.00
Tomate;2020;04;2.98;7641.00
Tomate;2020;05;4.15;6002.00
Tomate;2020;06;2.83;7219.00
Tomate;2020;07;2.17;7494.00
Tomate;2020;08;1.64;7412.00
Tomate;2020;09;1.19;7548.00
Tomate;2020;10;1.06;7892.00
Tomate;2020;11;1.18;7525.00
Tomate;2020;12;1.38;8958.00
Tomate;2021;01;1.52;8866.00
Tomate;2021;02;1.61;8554.00
Tomate;2021;03;1.82;9109.00
Tomate;2021;04;1.52;8483.00
Tomate;2021;05;1.52;8122.00
Tomate;2021;06;1.47;7398.00
Tomate;2021;07;2.49;7362.00
Tomate;2021;08;2.69;6799.00
Tomate;2021;09;2.70;7087.00
Tomate;2021;10;3.11;7120.00
Tomate;2021;11;2.28;7925.00
Tomate;2021;12;1.53;8835.00
Yuca;2020;01;1.59;5239.00
Yuca;2020;02;1.43;5022.00
Yuca;2020;03;1.42;4558.00
Yuca;2020;04;1.37;3522.00
Yuca;2020;05;1.15;4135.00
Yuca;2020;06;1.20;4245.00
Yuca;2020;07;0.98;6171.00
Yuca;2020;08;0.97;6036.00
Yuca;2020;09;0.95;5864.00
Yuca;2020;10;1.00;5915.00
Yuca;2020;11;1.11;5346.00
Yuca;2020;12;1.28;5421.00
Yuca;2021;01;1.34;5464.00
Yuca;2021;02;1.19;4945.00
Yuca;2021;03;1.18;4939.00
Yuca;2021;04;1.17;5339.00
Yuca;2021;05;1.11;5393.00
Yuca;2021;06;1.15;4822.00
Yuca;2021;07;1.13;5357.00
Yuca;2021;08;1.27;5091.00
Yuca;2021;09;1.39;5028.00
Yuca;2021;10;1.70;4963.00
Yuca;2021;11;2.14;4540.00
Yuca;2021;12;2.24;5208.00
Zanahoria;2020;01;0.82;10515.00
Zanahoria;2020;02;0.79;11087.00
