eli,Precipitacion,Humedad,'Direccion del Viento','Velocidad del Viento',Temperatura_
12547,1,1,351,15,4.0
38475,0,66,352,18,4.0
95,0,1,133,8,4.0
16974,0,1,43,6,3.0
30449,0,28,105,44,6.0
15696,0,1,350,18,3.0
706,0,95,160,16,5.0
2927,0,61,53,8,3.0
41096,0,75,185,6,3.0
26587,0,94,202,10,4.0
19829,0,89,333,10,4.0
847,0,65,340,16,5.0
13733,0,40,6,19,3.0
28744,0,53,117,57,5.0
8099,0,94,101,7,3.0
37738,0,64,34,14,3.0
39428,0,46,127,59,6.0
20379,0,46,49,13,4.0
39875,0,56,358,16,3.0
34997,0,28,32,18,3.0
26287,0,1,96,7,4.0
8374,0,47,123,52,5.0
5652,0,17,39,14,3.0
39046,0,32,131,38,6.0
12018,1,1,308,8,3.0
15270,0,59,200,6,3.0
1297,0,61,310,14,4.0
14631,0,69,128,37,5.0
31415,0,72,47,12,3.0
40623,0,80,169,14,5.0
24428,0,1,120,44,3.0
37300,0,77,235,18,3.0
13990,0,58,342,26,3.0
37474,0,57,325,6,3.0
23785,0,76,67,12,4.0
31346,0,40,37,8,3.0
19546,0,64,9,27,4.0
9136,0,56,172,17,6.0
11655,0,82,161,15,5.0
362,0,55,33,27,4.0
26677,0,81,162,14,5.0
15266,0,40,127,41,5.0
8736,0,83,167,22,3.0
28768,0,36,117,51,5.0
13572,0,59,120,57,5.0
4457,0,69,20,2,4.0
40958,0,66,186,14,5.0
3740,0,26,174,25,6.0
24337,0,1,109,10,3.0
35557,0,83,22,12,1.0
14018,0,53,27,24,3.0
13265,0,49,160,31,5.0
16843,0,1,121,23,3.0
22464,0,48,1,96,4.0
35842,0,84,313,5,3.0
5694,0,69,341,16,1.0
5758,0,11,11,22,4.0
9502,0,1,86,6,3.0
25030,0,94,107,7,4.0
5238,0,38,115,59,5.0
325,0,93,173,7,4.0
14500,0,80,292,12,2.0
30332,0,30,342,6,4.0
20293,0,28,139,11,7.0
12638,0,70,161,36,6.0
39952,0,57,192,19,6.0
18881,0,60,120,45,6.0
2300,0,35,22,16,3.0
28648,0,57,160,46,5.0
1638,0,53,292,44,4.0
9804,0,20,21,19,3.0
19940,0,57,159,29,6.0
6065,0,66,89,8,4.0
34562,18,87,206,6,3.0
28457,0,28,115,56,6.0
25489,0,54,7,27,5.0
5941,0,30,109,72,5.0
16290,0,67,114,84,6.0
13959,0,43,149,39,5.0
7365,0,1,154,33,4.0
39450,0,57,161,34,5.0
9232,0,49,189,29,6.0
31446,0,71,132,6,3.0
25182,0,91,1,96,2.0
26568,0,59,344,59,5.0
20165,0,64,354,8,3.0
5256,0,36,182,7,3.0
29150,0,45,163,35,5.0
23335,0,1,85,11,2.0
13090,0,60,140,19,5.0
33569,0,73,317,7,4.0
17498,0,78,342,31,5.0
34657,0,95,259,6,3.0
936,0,1,351,10,3.0
