fecha,precio,volumen
11/03/19,1.76,89
12/03/19,1.94,353
13/03/19,1.9,246
14/03/19,1.94,250
15/03/19,1.94,246
16/03/19,1.94,302
17/03/19,1.85,315
18/03/19,1.76,111
19/03/19,1.94,384
20/03/19,1.57,289
21/03/19,1.57,328
22/03/19,1.76,351
23/03/19,1.57,314
24/03/19,1.67,235
25/03/19,1.76,90
26/03/19,1.94,333
27/03/19,1.94,312
28/03/19,1.94,296
29/03/19,1.9,313
30/03/19,1.94,341
31/03/19,1.76,278
01/04/19,1.57,157
02/04/19,1.6,461
03/04/19,1.56,272
04/04/19,1.57,342
05/04/19,1.53,419
06/04/19,1.57,66
07/04/19,1.57,48
08/04/19,1.57,85
09/04/19,1.44,479
10/04/19,1.56,259
11/04/19,1.57,231
12/04/19,1.57,317
13/04/19,1.53,34
14/04/19,1.74,178
15/04/19,1.94,118
16/04/19,1.76,397
17/04/19,1.76,388
18/04/19,1.57,127
19/04/19,1.57,57
20/04/19,1.76,42
21/04/19,1.67,9
22/04/19,1.57,149
23/04/19,1.57,472
24/04/19,1.56,295
25/04/19,1.2,281
26/04/19,1.2,280
27/04/19,1.39,376
28/04/19,1.3,320
29/04/19,1.2,167
30/04/19,1.02,390
01/05/19,1.02,253
02/05/19,0.83,237
03/05/19,0.88,293
04/05/19,0.83,249
05/05/19,0.83,187
06/05/19,0.83,79
07/05/19,1.02,382
08/05/19,0.97,286
09/05/19,1.2,320
10/05/19,1.16,291
11/05/19,1.2,255
12/05/19,1.16,106
13/05/19,1.11,21
14/05/19,1.19,341
15/05/19,1.2,251
16/05/19,1.23,301
17/05/19,1.2,278
18/05/19,1.19,325
19/05/19,1.19,175
20/05/19,1.2,108
21/05/19,1.2,372
22/05/19,1.23,214
23/05/19,1.02,291
24/05/19,1.05,278
25/05/19,1.39,221
26/05/19,1.39,223
27/05/19,1.39,159
28/05/19,1.2,323
29/05/19,1.16,268
30/05/19,1.19,269
31/05/19,1.2,355
01/06/19,1.2,127
02/06/19,1.19,60
03/06/19,1.19,56
04/06/19,1.2,418
05/06/19,1.18,161
06/06/19,1.37,242
07/06/19,1.39,330
08/06/19,1.33,351
09/06/19,1.27,272
10/06/19,1.2,140
11/06/19,1.31,351
12/06/19,1.34,212
13/06/19,1.06,355
14/06/19,1.16,334
15/06/19,1.05,339
16/06/19,1.03,180
17/06/19,1.02,37
18/06/19,1.05,288
19/06/19,1.18,258
20/06/19,1.16,406
21/06/19,1.12,358
22/06/19,1.05,273
23/06/19,1.03,214
24/06/19,1.02,63
25/06/19,1.05,399
26/06/19,1.02,203
27/06/19,1,308
28/06/19,1.05,249
29/06/19,1,278
30/06/19,1,141
01/07/19,1,68
02/07/19,1.2,367
03/07/19,1.31,221
04/07/19,1.37,378
05/07/19,1.31,415
06/07/19,1.23,159
07/07/19,1.22,95
08/07/19,1.21,37
09/07/19,1.23,333
10/07/19,1.23,183
11/07/19,1.23,393
12/07/19,1.23,309
13/07/19,1.19,227
14/07/19,1.19,116
15/07/19,1.2,71
16/07/19,1.2,420
17/07/19,1.19,349
18/07/19,1.2,301
19/07/19,1.25,296
20/07/19,1.22,280
21/07/19,1.21,174
22/07/19,1.2,62
23/07/19,1.2,338
24/07/19,1.2,211
25/07/19,1.23,381
26/07/19,1.2,378
27/07/19,1.2,258
28/07/19,1.25,115
