DEPARTAMENTO,PROVINICA,DISTRITO,Precio Promedio,Volumen Promedio,Temperatura,Humedad,Precipitación,Cultivo
4,145,399,1.33,2925.0,10.93,78.1,15.5,11
4,145,1053,1.2,4245.0,10.93,78.1,15.5,17
4,145,1120,1.65,1423.0,10.93,78.1,15.5,8
4,145,1120,1.23,1684.0,10.93,78.1,15.5,14
5,7,120,0.53,34789.0,8.52,63.67,0.1,12
5,28,235,1.33,2925.0,8.52,63.67,0.1,11
5,28,634,1.33,2925.0,8.52,63.67,0.1,11
5,94,1126,0.93,4777.0,8.52,63.67,0.1,5
5,166,803,1.65,1423.0,8.52,63.67,0.1,8
5,166,1381,3.81,3579.0,8.52,63.67,0.1,4
5,166,1381,1.23,1684.0,8.52,63.67,0.1,14
7,74,949,1.53,15408.0,22.46,85.88,454.83,6
7,74,1199,9.54,3110.0,22.46,85.88,454.83,1
7,74,1199,1.53,15408.0,22.46,85.88,454.83,6
9,78,172,0.6,4525.0,12.25,76.89,3.1,13
9,78,172,1.23,1684.0,12.25,76.89,3.1,14
9,78,242,3.3,2024.0,12.25,76.89,3.1,3
9,78,275,1.33,2925.0,12.25,76.89,3.1,11
9,78,401,1.23,1684.0,12.25,76.89,3.1,14
9,78,900,1.43,1741.0,12.25,76.89,3.1,10
9,160,615,1.23,1684.0,12.25,76.89,3.1,14
9,160,846,1.53,15408.0,12.25,76.89,3.1,6
9,170,609,1.23,1684.0,12.25,76.89,3.1,14
9,170,503,1.23,1684.0,12.25,76.89,3.1,14
9,170,825,0.53,34789.0,12.25,76.89,3.1,12
9,170,1145,0.53,34789.0,12.25,76.89,3.1,12
9,50,435,1.33,2925.0,12.25,76.89,3.1,11
9,50,1357,9.54,3110.0,12.25,76.89,3.1,1
10,117,1200,9.54,3110.0,11.16,87.8,0.0,1
12,84,441,1.43,1741.0,11.97,80.8,21.5,10
12,84,636,1.65,1423.0,11.97,80.8,21.5,8
12,84,1030,0.6,4525.0,11.97,80.8,21.5,13
12,84,1044,1.23,1684.0,11.97,80.8,21.5,14
12,84,1225,0.53,34789.0,11.97,80.8,21.5,12
12,85,38,1.33,2925.0,11.97,80.8,21.5,11
12,119,48,1.33,2925.0,11.97,80.8,21.5,11
12,119,311,1.23,1684.0,11.97,80.8,21.5,14
12,119,777,1.33,2925.0,11.97,80.8,21.5,11
12,171,89,1.33,2925.0,9.18,62.24,63.84,11
12,171,121,9.54,3110.0,11.97,80.8,21.5,1
12,171,272,1.33,2925.0,11.97,80.8,21.5,11
12,171,474,1.33,2925.0,11.97,80.8,21.5,11
12,171,476,0.53,34789.0,11.97,80.8,21.5,12
12,171,652,1.2,4245.0,11.97,80.8,21.5,17
12,171,692,1.33,2925.0,11.97,80.8,21.5,11
12,171,1350,1.33,2925.0,11.97,80.8,21.5,11
15,68,302,1.65,1423.0,14.89,53.47,30.16,8
16,61,417,0.53,34789.0,18.55,83.16,81.35,12
